date,precipitation,humidity,pressure,wind_speed,cloud_cover
2021-01-01 00:00:00,0.0,12.295934,822.46747,7.729527,74.0
2021-01-01 01:00:00,0.0,11.619689,822.7101,7.24486,63.0
2021-01-01 02:00:00,0.0,11.167978,823.5272,6.9247384,54.0
2021-01-01 03:00:00,0.0,10.178692,825.6792,4.6938257,32.0
2021-01-01 04:00:00,0.0,7.0258536,829.57196,4.0249224,34.0
2021-01-01 05:00:00,0.0,11.698836,830.3773,1.609969,40.0
2021-01-01 06:00:00,0.0,12.232835,829.88464,4.6800003,30.0
2021-01-01 07:00:00,0.0,13.708993,829.2085,6.439876,36.0
2021-01-01 08:00:00,0.0,15.269494,828.36035,7.4128532,56.0
2021-01-01 09:00:00,0.0,17.202581,827.79474,7.2,68.0
2021-01-01 10:00:00,0.0,20.228384,827.32697,5.6233797,73.0
2021-01-01 11:00:00,0.0,22.228193,826.9308,5.154415,57.0
2021-01-01 12:00:00,0.0,14.454454,826.9474,2.8116899,31.0
2021-01-01 13:00:00,0.0,16.964993,826.0416,2.9024127,7.0
2021-01-01 14:00:00,0.0,18.781515,825.32385,4.5536795,0.0
2021-01-01 15:00:00,0.0,18.18818,824.7975,5.634891,0.0
2021-01-01 16:00:00,0.0,16.34176,824.5814,6.12,0.0
2021-01-01 17:00:00,0.0,14.47022,824.38605,6.489992,51.0
2021-01-01 18:00:00,0.0,12.466763,824.4474,6.4096174,86.0
2021-01-01 19:00:00,0.0,11.400249,824.09607,6.439876,68.0
2021-01-01 20:00:00,0.0,11.386742,824.074,5.495161,40.0
2021-01-01 21:00:00,0.0,11.077342,823.8893,6.28713,39.0
2021-01-01 22:00:00,0.0,10.277083,823.53143,5.4833565,44.0
2021-01-01 23:00:00,0.0,9.789809,823.6503,5.4833565,74.0
2021-01-02 00:00:00,0.0,11.14707,824.5977,5.634891,73.0
2021-01-02 01:00:00,0.0,10.184679,825.05554,6.151683,97.0
2021-01-02 02:00:00,0.0,9.777418,825.38196,5.634891,78.0
2021-01-02 03:00:00,0.0,9.9483795,826.8633,3.8773184,61.0
2021-01-02 04:00:00,0.0,7.3545012,830.17175,3.9763298,95.0
2021-01-02 05:00:00,0.0,14.140515,830.3202,3.319036,97.0
2021-01-02 06:00:00,0.0,17.790623,829.6922,2.968636,97.0
2021-01-02 07:00:00,0.0,23.230703,829.5398,4.510787,93.0
2021-01-02 08:00:00,0.0,27.428928,828.91174,2.0364676,96.0
2021-01-02 09:00:00,0.0,23.149323,828.11725,2.8116899,98.0
2021-01-02 10:00:00,0.0,21.481762,827.6105,2.6208394,97.0
2021-01-02 11:00:00,0.0,21.87743,827.458,3.319036,98.0
2021-01-02 12:00:00,0.0,24.037693,827.52765,3.219938,98.0
2021-01-02 13:00:00,0.0,24.836895,827.269,3.6179552,90.0
2021-01-02 14:00:00,0.0,25.741823,826.5422,4.6938252,86.0
2021-01-02 15:00:00,0.0,28.281027,826.0586,4.0249224,89.0
2021-01-02 16:00:00,0.0,29.862223,826.09283,4.802999,92.0
2021-01-02 17:00:00,0.0,30.50427,826.3771,4.896529,96.0
2021-01-02 18:00:00,0.0,30.86047,826.215,4.6800003,97.0
2021-01-02 19:00:00,0.0,31.706034,825.972,4.1046314,100.0
2021-01-02 20:00:00,0.0,33.18862,825.7798,4.0249224,100.0
2021-01-02 21:00:00,0.0,33.861034,825.59705,4.73506,100.0
2021-01-02 22:00:00,0.0,34.458054,825.66705,4.452954,95.0
2021-01-02 23:00:00,0.0,36.602604,825.47485,3.671294,90.0
2021-01-03 00:00:00,0.0,35.075294,825.4955,4.3498964,83.0
2021-01-03 01:00:00,0.0,35.03215,825.83856,4.6938257,58.0
2021-01-03 02:00:00,0.0,34.974335,825.9893,5.3517847,81.0
2021-01-03 03:00:00,0.0,41.50312,827.36206,3.396233,99.0
2021-01-03 04:00:00,0.0,47.61446,828.32294,3.096837,97.0
2021-01-03 05:00:00,0.0,57.234154,829.26685,3.6,100.0
2021-01-03 06:00:00,0.0,39.76222,829.64716,3.2599385,74.0
2021-01-03 07:00:00,0.0,39.767036,829.5063,3.4152596,75.0
2021-01-03 08:00:00,1.0,46.07179,828.79803,2.8799999,68.0
2021-01-03 09:00:00,0.5,52.784256,828.22925,4.510787,68.0
2021-01-03 10:00:00,0.2,57.729034,827.9326,5.154415,55.0
2021-01-03 11:00:00,0.0,71.9937,827.0291,3.96,35.0
