date,precipitation,humidity,pressure,wind_speed,cloud_cover
2021-01-01 00:00:00,0.0,6.984694,681.6948,6.151683,74.0
2021-01-01 01:00:00,0.0,7.644146,681.62885,5.95906,61.0
2021-01-01 02:00:00,0.0,8.07586,682.05914,5.904439,60.0
2021-01-01 03:00:00,0.0,8.047276,682.7093,5.904439,33.0
2021-01-01 04:00:00,0.0,20.301804,680.13306,6.151683,32.0
2021-01-01 05:00:00,0.0,32.48193,680.9171,4.802999,37.0
2021-01-01 06:00:00,0.0,27.174946,682.12036,4.802999,45.0
2021-01-01 07:00:00,0.0,26.693724,681.89355,5.0911684,34.0
2021-01-01 08:00:00,0.0,30.28231,681.2628,4.73506,13.0
2021-01-01 09:00:00,0.0,37.864277,680.2731,3.671294,33.0
2021-01-01 10:00:00,0.0,51.55016,677.92645,5.2416787,45.0
2021-01-01 11:00:00,0.0,35.74697,679.10315,5.154415,44.0
2021-01-01 12:00:00,0.0,48.146374,673.2611,5.95906,41.0
2021-01-01 13:00:00,0.0,40.293427,672.28723,2.9024127,0.0
2021-01-01 14:00:00,0.0,41.124516,671.39905,5.154415,0.0
2021-01-01 15:00:00,0.0,16.38949,680.9146,6.489992,0.0
2021-01-01 16:00:00,0.0,13.552767,682.01044,7.145796,0.0
2021-01-01 17:00:00,0.0,13.339367,681.99994,6.9153743,15.0
2021-01-01 18:00:00,0.0,13.245682,681.7224,7.42159,66.0
2021-01-01 19:00:00,0.0,14.370146,681.57806,7.42159,82.0
2021-01-01 20:00:00,0.0,16.369022,681.3078,7.4128532,77.0
2021-01-01 21:00:00,0.0,17.5814,680.7403,6.439876,88.0
2021-01-01 22:00:00,0.0,18.639267,680.4383,6.379216,91.0
2021-01-01 23:00:00,0.0,18.571955,680.2626,5.692099,91.0
2021-01-02 00:00:00,0.0,23.184374,680.5657,4.6102495,88.0
2021-01-02 01:00:00,0.0,21.48677,680.61426,4.73506,92.0
2021-01-02 02:00:00,0.0,18.72014,681.03864,6.638072,96.0
2021-01-02 03:00:00,0.0,17.61378,681.21436,7.42159,98.0
2021-01-02 04:00:00,0.0,26.115274,680.73254,6.297428,97.0
